timestamp,equity,cash,buying_power,daily_pnl,exposure_pct
2026-05-16 09:30,2055.7,,,,
2026-05-16 22:21,2055.7,,,,
2026-05-16 22:38:38.806748,2055.7,2055.7,4111.4,0.0,0.0
